capitalCity,longitude,latitude,name,Year,Country,Country_url,Region Code,Region,Overall Rank,Happiness Score,GDP per capita,Family,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness Status
Porto-Novo,2.6323,6.4779,Benin,2016.0,Benin,,0.0,,79.0,3.484,0.39499,0.10419,0.0,0.21028,0.39747,0.2018,0.06681,Amber
Porto-Novo,2.6323,6.4779,Benin,2017.0,Benin,,0.0,,235.0,3.657000065,0.431085408,0.435299844,0.0,0.209930211,0.425962776,0.207948461,0.060929015,Amber
Porto-Novo,2.6323,6.4779,Benin,2018.0,Benin,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg,9.0,OCEANIA,390.0,4.141,0.378,0.0,0.372,0.24,0.44,0.163,0.067,Amber
Porto-Novo,2.6323,6.4779,Benin,2019.0,Benin,,0.0,,546.0,4.883,0.393,0.0,0.437,0.397,0.349,0.175,0.082,Amber
Ouagadougou,-1.53395,12.3605,Burkina Faso,2016.0,Burkina Faso,,0.0,,79.0,3.739,0.31995,0.63054,0.0,0.21297,0.3337,0.24353,0.12533,Amber
Ouagadougou,-1.53395,12.3605,Burkina Faso,2017.0,Burkina Faso,,0.0,,235.0,4.032000065,0.350227714,1.043280005,0.0,0.215844259,0.324367851,0.250864685,0.120328106,Amber
Ouagadougou,-1.53395,12.3605,Burkina Faso,2018.0,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,142.0,ASIA,390.0,4.424,0.314,0.0,1.097,0.254,0.312,0.175,0.128,Amber
Ouagadougou,-1.53395,12.3605,Burkina Faso,2019.0,Burkina Faso,,0.0,,546.0,4.587,0.331,0.0,1.056,0.38,0.255,0.177,0.113,Amber
Dhaka,90.4113,23.7055,Bangladesh,2016.0,Bangladesh,,0.0,,79.0,4.643,0.54177,0.24749,0.0,0.52989,0.39778,0.19132,0.12583,Amber
Dhaka,90.4113,23.7055,Bangladesh,2017.0,Bangladesh,,142.0,ASIA,235.0,4.607999802,0.586682975,0.735131741,0.0,0.533241034,0.478356659,0.172255352,0.123717859,Amber
Dhaka,90.4113,23.7055,Bangladesh,2018.0,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,150.0,EUROPE,390.0,4.5,0.532,0.0,0.85,0.579,0.58,0.153,0.144,Amber
Dhaka,90.4113,23.7055,Bangladesh,2019.0,Bangladesh,,0.0,,546.0,4.456,0.562,0.0,0.928,0.723,0.527,0.166,0.143,Amber
Sofia,23.3238,42.7105,Bulgaria,2016.0,Bulgaria,,0.0,,79.0,4.217,1.11306,0.92542,0.0,0.67806,0.21219,0.12793,0.00615,Amber
Sofia,23.3238,42.7105,Bulgaria,2017.0,Bulgaria,,19.0,AMERICAS,235.0,4.714000225,1.161459088,1.434379458,0.0,0.70821768,0.289231718,0.113177694,0.011051531,Amber
Sofia,23.3238,42.7105,Bulgaria,2018.0,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg,150.0,EUROPE,390.0,4.933,1.054,0.0,1.515,0.712,0.359,0.064,0.009,Amber
Sofia,23.3238,42.7105,Bulgaria,2019.0,Bulgaria,,0.0,,546.0,5.011,1.092,0.0,1.513,0.815,0.311,0.081,0.004,Amber
,,,IBRD countries classified as high income,,,,,,,,,,,,,,,
Manama,50.5354,26.1921,Bahrain,2016.0,Bahrain,,0.0,,79.0,6.218,1.44024,0.94397,0.0,0.65696,0.47375,0.17147,0.25772,Green
Manama,50.5354,26.1921,Bahrain,2017.0,Bahrain,https://upload.wikimedia.org/wikipedia/commons/3/3d/Flag_of_Artsakh.svg,0.0,,235.0,6.086999893,1.488412261,1.323110461,0.0,0.653133035,0.536746919,0.172668487,0.25704217,Green
Manama,50.5354,26.1921,Bahrain,2018.0,Bahrain,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,19.0,AMERICAS,390.0,6.105,1.338,0.0,1.366,0.698,0.594,0.243,0.123,Green
Manama,50.5354,26.1921,Bahrain,2019.0,Bahrain,,0.0,,546.0,6.199,1.362,0.0,1.368,0.871,0.536,0.255,0.11,Green
Nassau,-77.339,25.0661,"Bahamas, The",,,,,,,,,,,,,,,
Sarajevo,18.4214,43.8607,Bosnia and Herzegovina,2016.0,Bosnia and Herzegovina,,0.0,,79.0,5.163,0.93383,0.64367,0.0,0.70766,0.09511,0.29889,0.0,Amber
Sarajevo,18.4214,43.8607,Bosnia and Herzegovina,2017.0,Bosnia and Herzegovina,,19.0,AMERICAS,235.0,5.18200016,0.982409418,1.069335938,0.0,0.705186307,0.204403177,0.328867495,0.0,Amber
Sarajevo,18.4214,43.8607,Bosnia and Herzegovina,2018.0,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,142.0,ASIA,390.0,5.129,0.915,0.0,1.078,0.758,0.28,0.216,0.0,Amber
Sarajevo,18.4214,43.8607,Bosnia and Herzegovina,2019.0,Bosnia and Herzegovina,,0.0,,546.0,5.386,0.945,0.0,1.212,0.845,0.212,0.263,0.006,Amber
,,,Latin America & the Caribbean (IBRD-only countries),,,,,,,,,,,,,,,
Minsk,27.5766,53.9678,Belarus,2016.0,Belarus,,0.0,,79.0,5.802,1.13062,1.04993,0.0,0.63104,0.29091,0.13942,0.17457,Green
